NR,ID,Order,Date,Island,Location,Site,Altitude,Docility,docility_time,docility_obs,Net Number,band,ColoRS RiGht,ColoRS Left,Species,Sex,age,Plum,BP.CP,Beak LengthA,Beak LengthB,Beak LengthC,Beak DepthA,Beak DepthB,Beak DepthC,Beak WidthA,Beak WidthB,Beak WidthC,Head Length,Head Depth,Head Width,Tarsus,Wing Chord,TipA,TipB,TipC,SideA,SideB,SideC,Mass,Blood,By?,Feces,Feces.Notes,Pox.Notes,Molting.Notes,temperature,Photo,Page_data_sheet,Notes,Meanbeaklength,Meanbeakdepth,Meanbeakwidth,Meantip,Meanside,Year,Logitud,Latitud,Recapture,Recapture.1,Recapture.2,Recapture.3,Extra.notes,DataSource,Sex0,Species1,Species0,MedianTip,MedianSide,Plum0,blackness,BANDER,BANDFINAL,CAPTURE,STATUS,sex,AdultMale,Species2,Head Length_correction_2018,MedianBeakLength,MedianBeakDepth,MedianBeakWidth,Blood samples location,Blood sample types,Position_storage,Comments,DNA extraction who,DNA extraction date,DNA extraction protocol,Notes,DNA.Box_location,Box.number,Nano.Quant,Pico.Green.ng.ul,Comment.Pico.Green,RAD.Library,Genomic.analysis,unique_ID,Importation_permit_number_CFIA,Other_projects,Original.sort
,12761,,2/18/19,Santa Cruz,Academy Bay,,Lowland,NA,,,1,SM1162,,,scandens,f?,j,,0,12.37,,,8.07,,,8.48,,,,,,22.4,71,,,,,,,20.6,y,MOB,,,y,,,n,3,,12.37,8.07,8.48,,,2019,,,,,,,,,,,,,,,,,,,,,,,,12.37,8.07,8.48,,,,,,,,,,,,,,,,,,,
,12762,,2/18/19,Santa Cruz,Academy Bay,,Lowland,NA,,,1,LF0175,,,crassirostris,f,ad,,1,10.33,,,10.91,,,9.84,,,,,,26.9,80.5,,,,,,,30.2,y,MOB,,,n,,,y,3,,10.33,10.91,9.84,,,2019,,,,,,,,,,,,,,,,,,,,,,,,10.33,10.91,9.84,RM (2019 Binder),BC,Binder_2019_P02,,,,,,,,,,,,,,,,
,12763,,2/18/19,Santa Cruz,Academy Bay,,Lowland,NA,,,1,LF0960,,,scandens,m,ad,5,2,14.31,,,8.4,,,8.56,,,38.01,,,22.08,70,,,,,,,21.8,y,MOB,,,,y,,y,3,Claw missing L3,14.31,8.4,8.56,,,2019,,,,,,,,,,,,,,,,,,,,,,,,14.31,8.4,8.56,RM (2019 Binder),BC,Binder_2019_P56,,,,,,,,,,,,,,,,
,12764,,2/18/19,Santa Cruz,Academy Bay,,Lowland,NA,,,1,LF0177,,,crassirostris,m,ad,5,1,10.12,,,10.58,,,9.66,,,,,,26.5,85,,,,,,,27.3,y,MOB,,,,,,y,3,,10.12,10.58,9.66,,,2019,,,,,,,,,,,,,,,,,,,,,,,,10.12,10.58,9.66,RM (2019 Binder),BC,Binder_2019_P02,,,,,,,,,,,,,,,,
,12765,,2/18/19,Santa Cruz,Academy Bay,,Lowland,NA,,,1,LF0178,,,crassirostris,m,ad,5,2,10.58,,,11.18,,,10.07,,,,,,27.31,84,,,,,,,31.4,y,MOB,,,,,,y,3,,10.58,11.18,10.07,,,2019,,,,,,,,,,,,,,,,,,,,,,,,10.58,11.18,10.07,RM (2019 Binder),BC,Binder_2019_P02,,,,,,,,,,,,,,,,
,12766,,2/18/19,Santa Cruz,Academy Bay,,Lowland,NA,,,1,LF0179,,,crassirostris,m,ad,5,2,10.47,,,11.49,,,9.74,,,,,,27.74,79,,,,,,,28.6,y,MOB,,,,,,y,3,Bottom of beak broken,10.47,11.49,9.74,,,2019,,,,,,,,,,,,,,,,,,,,,,,,10.47,11.49,9.74,RM (2019 Binder),BC,Binder_2019_P02,,,,,,,,,,,,,,,,
,12767,,2/18/19,Santa Cruz,Academy Bay,,Lowland,NA,,,1,JP9101,,,parvulus,m,ad,4,1,6.99,,,7.05,,,6.49,,,,,,20.21,60.5,,,,,,,12,y,MOB,,,,,,y,3,Beak malformation (line) on right side,6.99,7.05,6.49,,,2019,,,,,,,,,,,,,,,,,,,,,,,,6.99,7.05,6.49,RM (2019 Binder),BC,Binder_2019_P55,,,,,,,,,,,,,,,,
,12768,,2/18/19,Santa Cruz,Academy Bay,,Lowland,NA,,,1,LF0180,,,crassirostris,m,ad,5,2,11.01,,,11.35,,,10.31,,,,,,27.21,84,,,,,,,29.6,y,MOB,,,,y,,y,3,Claw missing L2,11.01,11.35,10.31,,,2019,,,,,,,,,,,,,,,,,,,,,,,,11.01,11.35,10.31,RM (2019 Binder),BC,Binder_2019_P02,,,,,,,,,,,,,,,,
,12769,,2/18/19,Santa Cruz,Academy Bay,,Lowland,NA,,,2,JP5214,,,crassirostris,m,ad,5,2,10.77,,,10.84,,,9.86,,,,,,28.37,85,,,,,,,33.1,y,MOB,,,,,,y,4,,10.77,10.84,9.86,,,2019,,,,,,,,,,,,,,,,,,,,,,,,10.77,10.84,9.86,RM (2019 Binder),BC,Binder_2019_P01,,,,,,,,,,,,,,,,
,12770,,2/18/19,Santa Cruz,Academy Bay,,Lowland,NA,,,2,LF0181,,,scandens,f,ad,,3,14.22,,,8.5,,,8.42,,,,,,21.05,69.5,,,,,,,22,y,MOB,,,,y,,y,4,"Claws missing R4, L1. 8:00",14.22,8.5,8.42,,,2019,,,,,,,,,,,,,,,,,,,,,,,,14.22,8.5,8.42,RM (2019 Binder),BC,Binder_2019_P55,,,,,,,,,,,,,,,,
