Index,Sort order,GeneID,avg mUCRA,avg mUFOR,log2(avg),log2(FC),abs(log2FC),pvalue,padj,significant,Num_over_min_min nCount,Num_over_min_log2(FC),DIFF_EXP
9924,150,MGAT5,1319,593,9.9,1.2,1.2,0,0,yes,2,1,1
9949,118,MIDN,72,35,5.7,1,1,0,0.01,yes,2,1,1
9958,113,MIIP,573,262,8.7,1.1,1.1,0,0,yes,2,1,1
9968,166,MIPEP,31,70,5.7,-1.2,1.2,0,0.02,yes,2,1,1
9971,173,MIS18BP1,462,162,8.3,1.5,1.5,0,0,yes,2,1,1
10003,211,MLXIP,26,87,5.8,-1.7,1.7,0,0,yes,2,1,1
10005,127,MLYCD,561,233,8.6,1.3,1.3,0,0,yes,2,1,1
10022,142,MMP9,795,2127,10.5,-1.4,1.4,0.01,0.04,yes,2,1,1
10042,255,MOGAT1,6,29,4.1,-2.3,2.3,0,0.01,yes,1,1,1
10051,682,MORN3,1,37,4.2,-4.8,4.8,0,0,yes,1,1,1
10071,169,MPI,13,41,4.8,-1.7,1.7,0,0,yes,2,1,1
10077,105,MPP5,163,79,6.9,1,1,0,0.01,yes,2,1,1
10080,111,MPPE1,163,75,6.9,1.1,1.1,0,0,yes,2,1,1
10092,149,MRE11,463,192,8.4,1.3,1.3,0,0,yes,2,1,1
10112,147,MRPL23,5,13,3.2,-1.4,1.4,0,0.02,yes,1,1,1
10113,338,MRPL24,14432,2211,13,2.7,2.7,0,0,yes,2,1,1
10175,121,MSH2,14,30,4.5,-1.1,1.1,0.01,0.04,yes,2,1,1
10209,135,MTERF4,11,29,4.3,-1.3,1.3,0,0,yes,2,1,1
10222,131,MTIF2,2137,1054,10.6,1,1,0,0,yes,2,1,1
10223,127,MTIF3,133,293,7.7,-1.1,1.1,0,0,yes,2,1,1
10245,115,MTRF1,143,318,7.8,-1.2,1.2,0,0,yes,2,1,1
10246,186,MTRF1L,565,235,8.6,1.3,1.3,0,0,yes,2,1,1
10250,233,MTTP,31,153,6.5,-2.3,2.3,0,0,yes,2,1,1
10256,181,MTX3,12,26,4.2,-1,1,0.01,0.04,yes,2,1,1
10306,188,MYL4,4,15,3.2,-1.9,1.9,0,0,yes,1,1,1
10311,127,MYLK3,76,32,5.8,1.3,1.3,0,0.01,yes,2,1,1
10315,390,MYO10,3,36,4.3,-3.5,3.5,0,0.01,yes,1,1,1
10326,114,MYO1F,511,1062,9.6,-1.1,1.1,0.01,0.05,yes,2,1,1
10330,123,MYO5A,37,87,6,-1.2,1.2,0.01,0.04,yes,2,1,1
10370,155,NAA35,1314,448,9.8,1.6,1.6,0,0,yes,2,1,1
10379,182,NACC2,16,50,5,-1.7,1.7,0.01,0.04,yes,2,1,1
10392,222,NANP,829,1850,10.4,-1.2,1.2,0,0,yes,2,1,1
10408,154,NAV3,13,30,4.4,-1.2,1.2,0,0.02,yes,2,1,1
10432,133,NCF2,73,185,7,-1.3,1.3,0,0,yes,2,1,1
10436,363,NCKAP5,16,2,3.2,3.2,3.2,0,0.01,yes,1,1,1
10477,180,NDUFAF1,711,204,8.8,1.8,1.8,0,0,yes,2,1,1
10492,132,NDUFS3,945,378,9.4,1.3,1.3,0,0,yes,2,1,1
10493,115,NDUFS4,446,220,8.4,1,1,0,0,yes,2,1,1
10499,195,NEB,52,14,5,1.9,1.9,0,0,yes,2,1,1
10512,135,NEDD9,58,122,6.5,-1.1,1.1,0,0.03,yes,2,1,1
10522,215,NEK2,72,187,7,-1.4,1.4,0,0.02,yes,2,1,1
10548,171,NEURL1,16,52,5.1,-1.7,1.7,0,0.02,yes,2,1,1
10554,128,NEXN,21,9,3.9,1.2,1.2,0,0.03,yes,1,1,1
10557,129,NFAM1,89,205,7.2,-1.2,1.2,0,0.03,yes,2,1,1
10573,137,NFKBIE,1181,3050,11,-1.4,1.4,0,0,yes,2,1,1
10597,194,NIBAN2,89,339,7.7,-1.9,1.9,0,0,yes,2,1,1
10620,352,NKAIN1,289,25,7.3,3.5,3.5,0,0,yes,2,1,1
10647,157,NME5,298,888,9.2,-1.6,1.6,0,0,yes,2,1,1
