"","x"
"464","FBP1"
"465","FBXL13"
"466","FBXL14"
"467","FBXL21P"
"468","FBXO15"
"469","FBXO2"
"470","FCHSD2"
"471","FDX1"
"472","FGD2"
"473","FGD4"
"474","FGF8"
"475","FGF9"
"476","FGL1"
"477","FGL2"
"478","FGR"
"479","FHOD3"
"480","FILIP1"
"481","FKBP11"
"482","FKBP1A"
"483","FKBP7"
"484","FLNB"
"485","FLVCR2"
"486","FMN1"
"487","FMNL2"
"488","FN1"
"489","FNBP4"
"490","FNDC3B"
"491","FOSL2"
"492","FOXJ1"
"493","FOXK1"
"494","FOXRED1"
"495","FRMD4A"
"496","FRMD6"
"497","FRY"
"498","FSTL1"
"499","FSTL3"
"500","FTSJ3"
"501","FUCA2"
"502","FUT7"
"503","FZD5"
"504","G6PD"
"505","GAB2"
"506","GAB3"
"507","GABBR2"
"508","GALC"
"509","GALK2"
"510","GALNT1"
"511","GALNT11"
"512","GALNT2"
"513","GALNT4"
"514","GAS7"
"515","GATM"
"516","GBE1"
"517","GCC1"
"518","GCK"
"519","GCNA"
"520","GDF1"
"521","GGA3"
"522","GGPS1"
"523","GINM1"
"524","GJD4"
"525","GLDC"
"526","GLI2"
"527","GLMN"
"528","GLOD4"
"529","GM2A"
"530","GMEB1"
"531","GMEB2"
"532","GMPPB"
"533","GNAL"
"534","GNB1"
"535","GNB4"
"536","GNG4"
"537","GNL2"
"538","GNPTAB"
"539","GOLIM4"
"540","GOLM1"
"541","GOLT1B"
"542","GORASP1"
"543","GORASP2"
"544","GOSR2"
"545","GPAM"
"546","GPAT4"
"547","GPATCH4"
"548","GPD1L"
"549","GPER1"
"550","GPI"
"551","GPR137C"
"552","GPR182"
"553","GPR19"
"554","GPR27"
"555","GRAMD2A"
"556","GRIA4"
"557","GRIN3B"
"558","GRK2"
"559","GRK6"
"560","GRN"
"561","GSDMA"
"562","GSDME"
"563","GSN"
"564","GSS"
"565","GUCY1B1"
"566","GXYLT1"
"567","GXYLT2"
"568","H6PD"
"569","HACD2"
"570","HAS2"
"571","HAT1"
"572","HAUS3"
"573","HCK"
"574","HDAC11"
"575","HDAC9"
"576","HDHD5"
